waterBodyIdentifier,WaterBody_label
FRGR0418,LE VINCOU ET SES AFFLUENTS DEPUIS LA SOURCE JUSQU'A LA CONFLUENCE AVEC LA GARTEMPE
FRHR2A,LA SEINE DU CONFLUENT DU BREVON  EXCLU  AU CONFLUENT DE LA RIVIERE DE COURCELLES  EXCL
FRHR326,LA DOUVE DU CONFLUENT DE LA SCYE  EXCLU  AU CONFLUENT DE LA TAUTE  EXCLU
FRHR354-I5030600,RIVIERE DE GLOIRE
FRDR184,L ARGENT-DOUBLE
FRGR0286,LA BIEUDRE ET SES AFFLUENTS DEPUIS LA SOURCE JUSQU'A LA CONFLUENCE AVEC L'ALLIER
FRFR925,CHENAL DE BROUAGE
FRGR1626,LE PONT DU ROC'H ET SES AFFLUENTS DEPUIS LA SOURCE JUSQU'A L'ESTUAIRE
FRGR0111,L'ILLET ET SES AFFLUENTS DEPUIS LA SOURCE JUSQU'A LA CONFLUENCE AVEC L'ILLE
FRGR0131,LE LIE DEPUIS LA MOTTE JUSQU'A LA CONFLUENCE AVEC L'OUST
FRGR0126C,L'OUST ET SES AFFLUENTS DEPUIS LA RETENUE DE BOSMELEAC JUSQU'A ROHAN
FRER10807,RIVIERE LA CASALUNA
FRGR0054,L'AULNE ET SES AFFLUENTS DEPUIS LA SOURCE JUSQU'A LA CONFLUENCE AVEC L'ELLEZ
FRDR638,LE DOUBS DE L AMONT DE PONTARLIER A L AMONT DU BASSIN DE CHAILLEXON
FRDR625,LE DOUBS DE LA CONFLUENCE AVEC L ALLAN JUSQU EN AMONT DU BARRAGE DE CRISSEY
FRGR0048,LE YAR ET SES AFFLUENTS DEPUIS PLOUNERIN JUSQU'A LA MER
FRGR1488,LE KERDUEL ET SES AFFLUENTS DEPUIS LA SOURCE JUSQU'A LA MER
FRGR0050,LE DOURDUFF ET SES AFFLUENTS DEPUIS LANMEUR JUSQU'A L'ESTUAIRE
FRGR0052,LE QUEFFLEUTH ET SES AFFLUENTS DEPUIS LA SOURCE JUSQU'A LA CONFLUENCE AVEC LE JARLOT
FRHR281,LA DIVES DE SA SOURCE AU CONFLUENT DE L ANTE  INCLUS
FRGR0057,L'HORN ET SES AFFLUENTS DEPUIS LA SOURCE JUSQU'A LA MER
FRGR0058,LE GUILLEC ET SES AFFLUENTS DEPUIS PLOUGAR JUSQU'A LA MER
FRER70,LE GOLO DE SA SOURCE AU BARRAGE DE CALACUCCIA
FRGR0062,L'ABER-VRAC'H ET SES AFFLUENTS DEPUIS LA SOURCE JUSQU'A L'ESTUAIRE
FRGR0061,L'ABER BENOIT ET SES AFFLUENTS DEPUIS LA SOURCE JUSQU'A L'ESTUAIRE
FRGR0065,LA PENFELD ET SES AFFLUENTS DEPUIS GOUESNOU JUSQU'A LA MER
FRDR109,LA BRESQUE
FRDR106,LA NARTUBY
FRDR2033,L ARGENS DE LA NARTUBY A LA MER
FRCR277,MEURTHE 1
FRCR295,RABODEAU
FRGR0382,LA GLANE ET SES AFFLUENTS DEPUIS LA SOURCE JUSQU'A LA CONFLUENCE AVEC LA VIENNE
FRCR132,EHN 2
FRCR127,SCHEER
FRCR704,LARGUE 1
FRCR176,ZORN 3
FRGR0520,L'HIERE ET SES AFFLUENTS DEPUIS LA SOURCE JUSQU'A LA CONFLUENCE AVEC L'OUDON
FRGR0505B,L'OUDON DEPUIS SEGRE JUSQU'A LA CONFLUENCE AVEC LA MAYENNE
FRCR79,LAUCH 2
FRDR173B,L HERAULT DE SA SOURCE A LA CONFLUENCE AVEC LA VIS
FRDR174,L AUDE DE LA CESSE A LA MER MEDITERRANEE
FRGR0167A,LA COISE ET SES AFFLUENTS DEPUIS LA SOURCE JUSQU'A SAINT-GALMIER
FRCR20,ILL 5
FRGR0271A,LA SIOULE DEPUIS OLBY JUSQU'AU COMPLEXE DES FADES-BESSERVES
FRGR0283,LA BOUBLE DEPUIS MONESTIER JUSQU'A LA CONFLUENCE AVEC LA SIOULE
FRHR4-F0406000,RUISSEAU LA GROEME
FRHR11A,LA BARSE DE SA SOURCE AU CONFLUENT DU CANAL DE MORGE  EXCLU
