URI,Label,Definition,Notation,Status,AcceptedDate,hasWFDQualityElement,hasCombinationTableDeterminandUom,skos_exactMatch
"http://dd.eionet.europa.eu/vocabulary/wise/ObservedProperty/CAS_7440-39-3","Barium",,"CAS_7440-39-3","valid","2020-10-12","http://dd.eionet.europa.eu/vocabulary/wise/WFDQualityElement/QE3-3","http://dd.eionet.europa.eu/vocabulary/wise/QCCombinationTableDeterminandUom/581",
"http://dd.eionet.europa.eu/vocabulary/wise/ObservedProperty/EEA_13-02-5","InvertebrateEQR_H",,"EEA_13-02-5","valid","2020-10-12","http://dd.eionet.europa.eu/vocabulary/wise/WFDQualityElement/QE1-3",,
"http://dd.eionet.europa.eu/vocabulary/wise/ObservedProperty/EEA_13-03-6","InvertebrateEQR_A",,"EEA_13-03-6","valid","2020-10-12","http://dd.eionet.europa.eu/vocabulary/wise/WFDQualityElement/QE1-3",,
"http://dd.eionet.europa.eu/vocabulary/wise/ObservedProperty/EEA_13-04-7","InvertebrateEQR_E",,"EEA_13-04-7","valid","2020-10-12","http://dd.eionet.europa.eu/vocabulary/wise/WFDQualityElement/QE1-3",,
"http://dd.eionet.europa.eu/vocabulary/wise/ObservedProperty/EEA_14-01-7","FishEQR_G",,"EEA_14-01-7","valid","2020-10-12","http://dd.eionet.europa.eu/vocabulary/wise/WFDQualityElement/QE1-4",,
"http://dd.eionet.europa.eu/vocabulary/wise/ObservedProperty/EEA_14-02-8","FishEQR_H",,"EEA_14-02-8","valid","2020-10-12","http://dd.eionet.europa.eu/vocabulary/wise/WFDQualityElement/QE1-4",,
"http://dd.eionet.europa.eu/vocabulary/wise/ObservedProperty/EEA_14-03-9","FishEQR_A",,"EEA_14-03-9","valid","2020-10-12","http://dd.eionet.europa.eu/vocabulary/wise/WFDQualityElement/QE1-4",,
"http://dd.eionet.europa.eu/vocabulary/wise/ObservedProperty/EEA_14-04-0","FishEQR_E",,"EEA_14-04-0","valid","2020-10-12","http://dd.eionet.europa.eu/vocabulary/wise/WFDQualityElement/QE1-4",,
"http://dd.eionet.europa.eu/vocabulary/wise/ObservedProperty/EEA_31-01-6","Hardness",,"EEA_31-01-6","valid","2020-10-12","http://dd.eionet.europa.eu/vocabulary/wise/WFDQualityElement/QE3-1-4-2",,
"http://dd.eionet.europa.eu/vocabulary/wise/ObservedProperty/EEA_31-02-7","Total suspended solids",,"EEA_31-02-7","valid","2020-10-12","http://dd.eionet.europa.eu/vocabulary/wise/WFDQualityElement/QE3-1-1-2","http://dd.eionet.europa.eu/vocabulary/wise/QCCombinationTableDeterminandUom/743",
